PT,disambiguate,AU,BA,CA,GP,RI,OI,BE,Z2,TI,X1,Y1,Z1,FT,PN,AE,Z3,SO,S1,SE,BS,VL,IS,SI,MA,BP,EP,AR,DI,D2,SU,PD,PY,AB,X4,Y4,Z4,AK,CT,CY,SP,CL,TC,Z8,ZB,ZS,Z9,SN,BN,UT,PM
J,NA,"Ishio, Yoshito; Dougherty, Kevin D.; Niki, Izumi",NA,NA,NA,NA,NA,NA,NA,American Flags in Religious Congregations in the United States,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF CHURCH AND STATE,NA,NA,NA,61,3,NA,NA,431,450,NA,10.1093/jcs/csy080,NA,NA,SUM 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000492873700004,NA
J,NA,"Chan, Eugene Y.",NA,NA,NA,NA,NA,NA,NA,The politics of intent: Political ideology influences organ donation intentions,NA,NA,NA,NA,NA,NA,NA,PERSONALITY AND INDIVIDUAL DIFFERENCES,NA,NA,NA,142,NA,NA,NA,255,259,NA,10.1016/j.paid.2018.12.022,NA,NA,MAY 1 2019,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000463125300038,NA
J,NA,"Chan, Eugene Y.",NA,NA,NA,NA,NA,NA,NA,"Exposure to national flags reduces tax evasion: Evidence from the United States, Australia, and Britain",NA,NA,NA,NA,NA,NA,NA,EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,NA,NA,NA,49,2,NA,NA,300,312,NA,10.1002/ejsp.2388,NA,NA,19-Mar,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000459636500006,NA
J,NA,"Kardos, Peter; Unoka, Zsolt; Pleh, Csaba; Soltesz, Peter",NA,NA,NA,NA,NA,NA,NA,Your mobile phone indeed means your social network: Priming mobile phone activates relationship related concepts,NA,NA,NA,NA,NA,NA,NA,COMPUTERS IN HUMAN BEHAVIOR,NA,NA,NA,88,NA,NA,NA,84,88,NA,10.1016/j.chb.2018.06.027,NA,NA,18-Nov,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,WOS:000443665400010,NA
J,NA,"Cheng, Yongtian; Li, Johnson Ching-Hong; Liu, Xiyao",NA,NA,NA,NA,NA,NA,NA,Limited Usefulness of Capture Procedure and Capture Percentage for Evaluating Reproducibility in Psychological Science,NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,9,NA,NA,NA,NA,NA,1657,10.3389/fpsyg.2018.01657,NA,NA,SEP 11 2018,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,WOS:000444352400001,NA
J,NA,"DeJesus, Jasmine M.; Hwang, Hyesung G.; Dautel, Jocelyn B.; Kinzler, Katherine D.",NA,NA,NA,NA,NA,NA,NA,"American=English Speaker Before ""American=White"": The Development of Children's Reasoning About Nationality",NA,NA,NA,NA,NA,NA,NA,CHILD DEVELOPMENT,NA,NA,NA,89,5,NA,NA,1752,1767,NA,10.1111/cdev.12845,NA,NA,SEP-OCT 2018,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,WOS:000443935700023,NA
J,NA,"Chopik, William J.; Bremner, Ryan H.; Defever, Andrew M.; Keller, Victor N.",NA,NA,NA,NA,NA,NA,NA,How (and Whether) to Teach Undergraduates About the Replication Crisis in Psychological Science,NA,NA,NA,NA,NA,NA,NA,TEACHING OF PSYCHOLOGY,NA,NA,NA,45,2,NA,NA,158,163,NA,10.1177/0098628318762900,NA,NA,18-Apr,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,WOS:000429950000007,NA
J,NA,"Pedrini, Pier Paolo","Pedrini, PP",NA,NA,NA,NA,NA,NA,Unity is strength,NA,NA,NA,NA,NA,NA,NA,Routledge Studies in Modern European History,NA,NA,NA,NA,NA,NA,NA,67,82,NA,NA,NA,NA,2018,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000458911500010,NA
J,a,"Calfano, B.","Calfano, B",NA,NA,NA,NA,NA,NA,"Muslims, Identity, and American Politics",NA,NA,NA,NA,NA,NA,NA,"MUSLIMS, IDENTITY, AND AMERICAN POLITICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,WOS:000475484400009,NA
J,NA,"Chan, Eugene Y.",NA,NA,NA,NA,NA,NA,NA,Exposure to the American flag polarizes democratic-republican ideologies,NA,NA,NA,NA,NA,NA,NA,BRITISH JOURNAL OF SOCIAL PSYCHOLOGY,NA,NA,NA,56,4,NA,NA,809,818,NA,10.1111/bjso.12197,NA,NA,17-Dec,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,WOS:000416841700011,NA
J,NA,"Gueguen, Nicolas; Martin, Angelique; Stefan, Jordy",NA,NA,NA,NA,NA,NA,NA,Holding your flag: The effects of exposure to a regional symbol on people's behavior,NA,NA,NA,NA,NA,NA,NA,EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,NA,NA,NA,47,5,NA,NA,539,552,NA,10.1002/ejsp.2239,NA,NA,17-Aug,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000409241700002,NA
J,NA,"Shanks, David R.",NA,NA,NA,NA,NA,NA,NA,"Misunderstanding the Behavior Priming Controversy: Comment on Payne, Brown-Iannuzzi, and Loersch (2016)",NA,NA,NA,NA,NA,NA,NA,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,NA,NA,NA,146,8,NA,NA,1216,1222,NA,10.1037/xge0000307,NA,NA,17-Aug,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000406614300012,NA
J,NA,"Rains, Stephen A.; Kenski, Kate; Coe, Kevin; Harwood, Jake",NA,NA,NA,NA,NA,NA,NA,Incivility and Political Identity on the Internet: Intergroup Factors as Predictors of Incivility in Discussions of News Online,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF COMPUTER-MEDIATED COMMUNICATION,NA,NA,NA,22,4,NA,NA,163,178,NA,10.1111/jcc4.12191,NA,NA,17-Jul,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,WOS:000406245700001,NA
J,NA,"Wang, Lili; Zuo, Peng",NA,NA,NA,NA,NA,NA,NA,Flag backlash: Why does the presence of the American flag reduce product evaluation?,NA,NA,NA,NA,NA,NA,NA,PSYCHOLOGY & MARKETING,NA,NA,NA,34,7,NA,NA,693,707,NA,10.1002/mar.21016,NA,NA,17-Jul,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000403209100003,NA
J,NA,"Gobet, Fernand",NA,NA,NA,NA,NA,NA,NA,Allen Newell's Program of Research: The Video-Game Test,NA,NA,NA,NA,NA,NA,NA,TOPICS IN COGNITIVE SCIENCE,NA,NA,NA,9,2,NA,NA,522,532,NA,10.1111/tops.12265,NA,NA,17-Apr,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000400362700015,NA
J,NA,"Franek, Marek; Rezny, Lukas",NA,NA,NA,NA,NA,NA,NA,The Effect of Priming with Photographs of Environmental Settings on Walking Speed in an Outdoor Environment,NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,8,NA,NA,NA,NA,NA,73,10.3389/fpsyg.2017.00073,NA,NA,JAN 26 2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,WOS:000392641200001,NA
J,NA,"Young, Sally",NA,NA,NA,NA,NA,NA,NA,News Corporation Tabloids and Press Photography During the 2013 Australian Federal Election,NA,NA,NA,NA,NA,NA,NA,JOURNALISM STUDIES,NA,NA,NA,18,7,NA,NA,866,889,NA,10.1080/1461670X.2015.1088398,NA,NA,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000403008000004,NA
B,NA,"Cumming, G; CalinJageman, R",NA,NA,NA,NA,NA,NA,NA,"Introduction to the New Statistics: Estimation, Open Science, and Beyond",NA,NA,NA,NA,NA,NA,NA,"INTRODUCTION TO THE NEW STATISTICS: ESTIMATION, OPEN SCIENCE, AND BEYOND",NA,NA,NA,NA,NA,NA,NA,1,560,NA,NA,NA,NA,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000414219100020,NA
J,NA,"Schuler, Johannes; Ivanov, Igor; Waenke, Michaela",NA,NA,NA,NA,NA,NA,NA,Does Money Change Political Views? - An Investigation of Money Priming and the Preference for Right-Wing Politics,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF SOCIAL AND POLITICAL PSYCHOLOGY,NA,NA,NA,5,2,NA,NA,396,414,NA,10.5964/jspp.v5i2.748,NA,NA,2017,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000514922700005,NA
J,NA,"Ottati, Victor; Wilson, Chase; Lambert, Alan",NA,NA,NA,NA,NA,NA,NA,"Accessibility, priming, and political judgment",NA,NA,NA,NA,NA,NA,NA,CURRENT OPINION IN PSYCHOLOGY,NA,NA,NA,12,NA,NA,NA,1,5,NA,10.1016/j.copsyc.2016.04.010,NA,NA,16-Dec,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,WOS:000390915800002,NA
J,NA,"Romero, Felipe",NA,NA,NA,NA,NA,NA,NA,Can the behavioral sciences self-correct? A social epistemic study,NA,NA,NA,NA,NA,NA,NA,STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE,NA,NA,NA,60,NA,NA,NA,55,69,NA,10.1016/j.shpsa.2016.10.002,NA,NA,16-Dec,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,WOS:000390737000007,NA
J,NA,"Kalmoe, Nathan P.; Gross, Kimberly",NA,NA,NA,NA,NA,NA,NA,"Cueing Patriotism, Prejudice, and Partisanship in the Age of Obama: Experimental Tests of US Flag Imagery Effects in Presidential Elections",NA,NA,NA,NA,NA,NA,NA,POLITICAL PSYCHOLOGY,NA,NA,NA,37,6,NA,NA,883,899,NA,10.1111/pops.12305,NA,NA,16-Dec,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,WOS:000387770400008,NA
J,NA,"Stern, Chadly; West, Tessa V.",NA,NA,NA,NA,NA,NA,NA,Ideological Differences in Anchoring and Adjustment During Social Inferences,NA,NA,NA,NA,NA,NA,NA,PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN,NA,NA,NA,42,11,NA,NA,1466,1479,NA,10.1177/0146167216664058,NA,NA,16-Nov,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,WOS:000386850100002,NA
J,NA,"Patrikios, Stratos; Cram, Laura",NA,NA,NA,NA,NA,NA,NA,Better the devil you know: Threat effects and attachment to the European Union,NA,NA,NA,NA,NA,NA,NA,COMPARATIVE EUROPEAN POLITICS,NA,NA,NA,14,6,NA,NA,717,734,NA,10.1057/cep.2014.54,NA,NA,16-Nov,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000388095600001,NA
J,NA,"Stroebe, Wolfgang",NA,NA,NA,NA,NA,NA,NA,Are most published social psychological findings false?,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,NA,NA,NA,66,NA,NA,NA,134,144,NA,10.1016/j.jesp.2015.09.017,NA,NA,16-Sep,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,WOS:000381166900014,NA
J,NA,"Chan, Eugene Y.",NA,NA,NA,NA,NA,NA,NA,Re-construing politics: The dual impacts of abstraction on political ideology,NA,NA,NA,NA,NA,NA,NA,EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,NA,NA,NA,46,5,NA,NA,649,656,NA,10.1002/ejsp.2188,NA,NA,16-Aug,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,WOS:000388311800009,NA
J,NA,"Moehler, Devra; Conroy-Krutz, Jeffrey",NA,NA,NA,NA,NA,NA,NA,Eyes on the ballot: Priming effects and ethnic voting in the developing world,NA,NA,NA,NA,NA,NA,NA,ELECTORAL STUDIES,NA,NA,NA,42,NA,NA,NA,99,113,NA,10.1016/j.electstud.2016.01.010,NA,NA,16-Jun,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,WOS:000376546100011,NA
J,NA,"Lerman, Amy E.; Sadin, Meredith L.",NA,NA,NA,NA,NA,NA,NA,Stereotyping or Projection? How White and Black Voters Estimate Black Candidates' Ideology,NA,NA,NA,NA,NA,NA,NA,POLITICAL PSYCHOLOGY,NA,NA,NA,37,2,NA,NA,147,163,NA,10.1111/pops.12235,NA,NA,16-Apr,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,WOS:000372899200001,NA
J,NA,"Kleiman, Tali; Stern, Chadly; Trope, Yaacov",NA,NA,NA,NA,NA,NA,NA,When the Spatial and Ideological Collide: Metaphorical Conflict Shapes Social Perception,NA,NA,NA,NA,NA,NA,NA,PSYCHOLOGICAL SCIENCE,NA,NA,NA,27,3,NA,NA,375,383,NA,10.1177/0956797615624029,NA,NA,16-Mar,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,WOS:000372522800008,NA
J,NA,"Hvidman, Ulrik; Andersen, Simon Calmar",NA,NA,NA,NA,NA,NA,NA,Perceptions of Public and Private Performance: Evidence from a Survey Experiment,NA,NA,NA,NA,NA,NA,NA,PUBLIC ADMINISTRATION REVIEW,NA,NA,NA,76,1,NA,NA,111,120,NA,10.1111/puar.12441,NA,NA,JAN-FEB 2016,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,WOS:000367313700018,NA
J,NA,"Gass, Robert H.; Seiter, John S.","Gass, RH; Seiter, JS",NA,NA,NA,NA,NA,NA,Motivational Appeals,NA,NA,NA,NA,NA,NA,NA,"PERSUASION: SOCIAL INFLUENCE AND COMPLIANCE GAINING, 5TH EDITION",NA,NA,NA,NA,NA,NA,NA,284,307,NA,NA,NA,NA,2016,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000440536500014,NA
J,NA,"Kuehberger, Anton; Scherndl, Thomas; Ludwig, Bastian; Simon, Dominique M.",NA,NA,NA,NA,NA,NA,NA,Comparative Evaluation of Narrative Reviews and Meta-Analyses A Case Study,NA,NA,NA,NA,NA,NA,NA,ZEITSCHRIFT FUR PSYCHOLOGIE-JOURNAL OF PSYCHOLOGY,NA,NA,NA,224,3,NA,NA,145,156,NA,10.1027/2151-2604/a000250,NA,NA,2016,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,WOS:000391262500002,NA
J,NA,"Fatke, Matthias",NA,NA,NA,NA,NA,NA,NA,Behavioural primes in the voting booth: Further evidence of priming effects in popular votes and elections,NA,NA,NA,NA,NA,NA,NA,ELECTORAL STUDIES,NA,NA,NA,40,NA,NA,NA,315,321,NA,10.1016/j.electstud.2015.10.008,NA,NA,15-Dec,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000367276800030,NA
J,NA,"Meyers, C. D.",NA,NA,NA,NA,NA,NA,NA,Automatic Behavior and Moral Agency: Defending the Concept of Personhood from Empirically Based Skepticism,NA,NA,NA,NA,NA,NA,NA,ACTA ANALYTICA-INTERNATIONAL PERIODICAL FOR PHILOSOPHY IN THE ANALYTICAL TRADITION,NA,NA,NA,30,2,NA,NA,193,209,NA,10.1007/s12136-014-0239-3,NA,NA,15-Jun,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,WOS:000354903100007,NA
J,NA,"Hesselmann, Guido; Moors, Pieter",NA,NA,NA,NA,NA,NA,NA,Definitely maybe: can unconscious processes perform the same functions as conscious processes?,NA,NA,NA,NA,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,NA,NA,NA,6,NA,NA,NA,NA,NA,584,10.3389/fpsyg.2015.00584,NA,NA,MAY 6 2015,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,WOS:000355339000003,NA
J,NA,"Brandt, Mark J.; Evans, Anthony M.; Crawford, Jarret T.",NA,NA,NA,NA,NA,NA,NA,The Unthinking or Confident Extremist? Political Extremists Are More Likely Than Moderates to Reject Experimenter-Generated Anchors,NA,NA,NA,NA,NA,NA,NA,PSYCHOLOGICAL SCIENCE,NA,NA,NA,26,2,NA,NA,189,202,NA,10.1177/0956797614559730,NA,NA,15-Feb,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,WOS:000349622000008,NA
J,NA,"Miller, Monica K.; Chamberlain, Jared",NA,NA,NA,NA,NA,NA,NA,There Ought to Be a Law!: Understanding Community Sentiment,NA,NA,NA,NA,NA,NA,NA,HANDBOOK OF COMMUNITY SENTIMENT,NA,NA,NA,NA,NA,NA,NA,3,28,NA,10.1007/978-1-4939-1899-7_1,NA,NA,2015,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,WOS:000417005200001,NA
J,NA,"Chin, Jason M.",NA,NA,NA,NA,NA,NA,NA,Psychological Science's Replicability Crisis and What It Means for Science in the Courtroom,NA,NA,NA,NA,NA,NA,NA,PSYCHOLOGY PUBLIC POLICY AND LAW,NA,NA,NA,20,3,NA,NA,225,238,NA,10.1037/law0000012,NA,NA,14-Aug,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,WOS:000349172600001,NA
J,NA,"Meyer, David E.",NA,NA,NA,NA,NA,NA,NA,Semantic priming well established,NA,NA,NA,NA,NA,NA,NA,SCIENCE,NA,NA,NA,345,6196,NA,NA,523,523,NA,10.1126/science.345.6196.523-b,NA,NA,AUG 1 2014,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,WOS:000339651300031,NA
J,NA,"Ferguson, Melissa J.; Mann, Thomas C.",NA,NA,NA,NA,NA,NA,NA,"EFFECTS OF EVALUATION: AN EXAMPLE OF ROBUST ""SOCIAL"" PRIMING",NA,NA,NA,NA,NA,NA,NA,SOCIAL COGNITION,NA,NA,NA,32,NA,NA,NA,33,46,NA,10.1521/soco.2014.32.supp.33,NA,NA,14-Jun,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,WOS:000339389200003,NA
J,NA,"Menon, Tanya; Smith, Edward Bishop",NA,NA,NA,NA,NA,NA,NA,Identities in flux: Cognitive network activation in times of change,NA,NA,NA,NA,NA,NA,NA,SOCIAL SCIENCE RESEARCH,NA,NA,NA,45,NA,NA,NA,117,130,NA,10.1016/j.ssresearch.2014.01.001,NA,NA,14-May,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,WOS:000333000300009,NA
J,NA,"Erisen, Cengiz; Lodge, Milton; Taber, Charles S.",NA,NA,NA,NA,NA,NA,NA,Affective Contagion in Effortful Political Thinking,NA,NA,NA,NA,NA,NA,NA,POLITICAL PSYCHOLOGY,NA,NA,NA,35,2,NA,NA,187,206,NA,10.1111/j.1467-9221.2012.00937.x,NA,NA,14-Apr,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,WOS:000334410600003,NA
J,NA,"Lucas, Todd; Barkho, Evone; Rudolph, Cort; Zhdanova, Ludmila; Fakhouri, Monty; Thompson, Lyke",NA,NA,NA,NA,NA,NA,NA,"Political affiliation, collective self-esteem and perceived employability of immigrants: Inducing national identity polarizes host-nation employers",NA,NA,NA,NA,NA,NA,NA,INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS,NA,NA,NA,39,NA,NA,NA,136,151,NA,10.1016/j.ijintrel.2013.11.001,NA,NA,14-Mar,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,WOS:000347673400012,NA
J,NA,"Newell, Ben R.; Shanks, David R.",NA,NA,NA,NA,NA,NA,NA,Unconscious influences on decision making: A critical review,NA,NA,NA,NA,NA,NA,NA,BEHAVIORAL AND BRAIN SCIENCES,NA,NA,NA,37,1,NA,NA,1,+,NA,10.1017/S0140525X12003214,NA,NA,14-Feb,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,187,NA,NA,NA,NA,NA,NA,WOS:000332474000001,NA
J,NA,"Ferguson, Melissa J.; Carter, Travis J.; Hassin, Ran R.",NA,NA,NA,NA,NA,NA,NA,Commentary on the Attempt to Replicate the Effect of the American Flag on Increased Republican Attitudes,NA,NA,NA,NA,NA,NA,NA,SOCIAL PSYCHOLOGY,NA,NA,NA,45,4,NA,NA,301,302,NA,NA,NA,NA,2014,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,WOS:000341226100006,NA
J,NA,"Klein, Richard A.; Ratliff, Kate A.; Vianello, Michelangelo; Adams, Reginald B., Jr.; Bahnik, Stepan; Bernstein, Michael J.; Bocian, Konrad; Brandt, Mark J.; Brooks, Beach; Brumbaugh, Claudia Chloe; Cemalcilar, Zeynep; Chandler, Jesse; Cheong, Winnee; Davis, William E.; Devos, Thierry; Eisner, Matthew; Frankowska, Natalia; Furrow, David; Galliani, Elisa Maria; Hasselman, Fred; Hicks, Joshua A.; Hovermale, James F.; Hunt, S. Jane; Huntsinger, Jeffrey R.; IJzerman, Hans; John, Melissa-Sue; Joy-Gaba, Jennifer A.; Kappes, Heather Barry; Krueger, Lacy E.; Kurtz, Jaime; Levitan, Carmel A.; Mallett, Robyn K.; Morris, Wendy L.; Nelson, Anthony J.; Nier, Jason A.; Packard, Grant; Pilati, Ronaldo; Rutchick, Abraham M.; Schmidt, Kathleen; Skorinko, Jeanine L.; Smith, Robert; Steiner, Troy G.; Storbeck, Justin; Van Swol, Lyn M.; Thompson, Donna; van 't Veer, A. E.; Vaughn, Leigh Ann; Vranka, Marek; Wichman, Aaron L.; Woodzicka, Julie A.; Nosek, Brian A.",NA,NA,NA,NA,NA,NA,NA,"Investigating Variation in Replicability A ""Many Labs'' Replication Project",NA,NA,NA,NA,NA,NA,NA,SOCIAL PSYCHOLOGY,NA,NA,NA,45,3,NA,NA,142,152,NA,10.1027/1864-9335/a000178,NA,NA,2014,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,369,NA,NA,NA,NA,NA,NA,WOS:000336836900002,NA
J,NA,"Monin, Benoit; Oppenheimer, Daniel M.",NA,NA,NA,NA,NA,NA,NA,Commentaries and Rejoinder on Klein et al. (2014) The Limits of Direct Replications and the Virtues of Stimulus Sampling,NA,NA,NA,NA,NA,NA,NA,SOCIAL PSYCHOLOGY,NA,NA,NA,45,4,NA,NA,299,300,NA,10.1027/1864-9335/a000202,NA,NA,2014,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,WOS:000341226100005,NA
J,NA,"Harris, Christine R.; Coburn, Noriko; Rohrer, Doug; Pashler, Harold",NA,NA,NA,NA,NA,NA,NA,Two Failures to Replicate High-Performance-Goal Priming Effects,NA,NA,NA,NA,NA,NA,NA,PLOS ONE,NA,NA,NA,8,8,NA,NA,NA,NA,e72467,10.1371/journal.pone.0072467,NA,NA,AUG 16 2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,WOS:000323570200070,NA
J,NA,"Zhu, Luke (Lei); Kay, Aaron C.; Eibach, Richard P.",NA,NA,NA,NA,NA,NA,NA,A test of the flexible ideology hypothesis: System justification motives interact with ideological cueing to predict political judgments,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,NA,NA,NA,49,4,NA,NA,755,758,NA,10.1016/j.jesp.2013.03.007,NA,NA,13-Jul,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,WOS:000319852600020,NA
J,NA,"Tusche, Anita; Kahnt, Thorsten; Wisniewski, David; Haynes, John-Dylan",NA,NA,NA,NA,NA,NA,NA,Automatic processing of political preferences in the human brain,NA,NA,NA,NA,NA,NA,NA,NEUROIMAGE,NA,NA,NA,72,NA,NA,NA,174,182,NA,10.1016/j.neuroimage.2013.01.020,NA,NA,MAY 15 2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,WOS:000317166800017,NA
J,NA,"Baumard, Nicolas; Andre, Jean-Baptiste; Sperber, Dan",NA,NA,NA,NA,NA,NA,NA,A mutualistic approach to morality: The evolution of fairness by partner choice,NA,NA,NA,NA,NA,NA,NA,BEHAVIORAL AND BRAIN SCIENCES,NA,NA,NA,36,1,NA,NA,59,78,NA,10.1017/S0140525X11002202,NA,NA,13-Feb,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,NA,NA,NA,NA,NA,NA,WOS:000314690900002,NA
J,NA,"Devos, Thierry; Ma, Debbie S.",NA,NA,NA,NA,NA,NA,NA,"How ""American"" is Barack Obama? The Role of National Identity in a Historic Bid for the White House",NA,NA,NA,NA,NA,NA,NA,JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,NA,NA,NA,43,1,NA,NA,214,226,NA,10.1111/jasp.12069,NA,NA,13-Jan,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,WOS:000313914600020,NA
J,NA,"Bilali, Rezarta; Vollhardt, Johanna Ray",NA,NA,NA,NA,NA,NA,NA,Priming effects of a reconciliation radio drama on historical perspective-taking in the aftermath of mass violence in Rwanda,NA,NA,NA,NA,NA,NA,NA,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,NA,NA,NA,49,1,NA,NA,144,151,NA,10.1016/j.jesp.2012.08.011,NA,NA,13-Jan,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,WOS:000311176400019,NA
J,NA,"Pashler, Harold; Coburn, Noriko; Harris, Christine R.",NA,NA,NA,NA,NA,NA,NA,Priming of Social Distance? Failure to Replicate Effects on Social and Food Judgments,NA,NA,NA,NA,NA,NA,NA,PLOS ONE,NA,NA,NA,7,8,NA,NA,NA,NA,e42510,10.1371/journal.pone.0042510,NA,NA,AUG 29 2012,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,WOS:000308206000008,NA
