pubYear,totalCitations,meanCitations
1998,98,0.431718062
1999,482,2.123348018
2000,976,4.299559471
2001,1224,5.392070485
2002,1314,5.788546256
2003,1442,6.352422907
2004,1548,6.81938326
2005,1745,7.68722467
2006,2056,9.057268722
2007,2355,10.37444934
2008,2729,12.02202643
2009,2726,12.00881057
2010,2998,13.20704846
2011,3079,13.56387665
2012,2997,13.20264317
2013,3196,14.07929515
2014,3290,14.49339207
2015,3313,14.59471366
2016,3329,14.66519824
2017,3318,14.61674009
2018,3225,14.20704846
2019,1028,4.528634361